10021,42142,41000-48250,40000.0-50000,43.5,56.5,6.3,4.4,2.9,1.4,2.6,23.4,14,10.2,4.1,8.4,12.4,6.8,3.1,40.3,85.4,84.5,27.3,22.3,36004,41.1,58.9,9398,39.3,60.7,42142,6.4,93.6,80.1,1.8,0.1,9.6,0.3,0.1,1.6	
10022,29699,27500-35000,20000.0-30000,44,56,4.3,2,1.1,1.7,5.3,19.9,14.1,11.8,5.3,7,14.1,8.8,4.5,46,91.9,90.7,31.2,27.5,27283,42.9,57.1,8162,41.4,58.6,29699,6.7,93.3,80.6,1.6,0,9.8,0,0.3,1.1	
10023,60762,60000-71500,60000.0-70000,47.6,52.4,6.9,3.6,2.3,2.7,3.8,18.8,16.8,13.6,6.4,6,10,6.1,3.1,41.8,86,83.9,22.9,19.3,52241,46.2,53.8,11708,41.7,58.3,60762,9.4,90.6,76.7,2.2,0,9.3,0,0.3,2	
10024,59249,48250-60000,50000.0-60000,46.3,53.7,6.1,4.6,3.9,3,2.9,19.5,15.7,15.5,5.6,6.3,10.1,4.5,2.2,41.5,83,82.2,20.5,16.9,49155,45.2,54.8,9993,43.6,56.4,59249,12.2,87.8,73.5,4.7,0.2,6.2,0,0.3,2.8	
10025,97373,86000-inf,90000.0-100000,44.2,55.8,4.9,3.5,4,4.9,8,19.2,13,13.7,6.6,6.5,8.4,4.5,2.8,39.3,85.6,81,19.9,15.7,83390,44,56,15295,40.4,59.6,97373,22.2,77.8,55.8,10,0.1,9.5,0,0.5,1.9	
10026,38372,35000-41000,30000.0-40000,46.3,53.7,7.1,5,5.7,5.1,9,19.5,14.7,14.3,6.5,4,5.3,2.6,1.3,34.3,79.6,75.6,11.7,9.2,30528,45.1,54.9,3527,35.3,64.7,38372,20.9,79.1,18.9,53.7,0.1,4.3,0,0.4,1.8	
10027,63057,60000-71500,60000.0-70000,46.3,53.7,5.2,4.5,4.5,10.1,12.5,20.2,12.2,11.5,5.8,4.3,5.1,2.7,1.4,30.4,82.1,73.1,11.5,9.2,51777,45.7,54.3,5794,36.5,63.5,63057,23.7,76.3,23.6,39.5,0.1,9.2,0.1,1.1,2.7	
10028,46169,41000-48250,40000.0-50000,44.3,55.7,4.5,4.1,3.4,2.3,4.4,24.9,14.3,11.5,6.9,5.2,10.2,5.9,2.3,39.7,86.2,85.5,21.6,18.4,39803,43.5,56.5,8506,42.8,57.2,46169,4.7,95.3,84.5,1.1,0.1,7.1,0.4,0.3,1.9	
10029,77857,71500-86000,70000.0-80000,46.5,53.5,5.1,5.3,6.5,7.8,8.9,19,12.7,11.9,5.1,5.3,6.3,4.2,1.9,33.5,78.8,73.4,15.4,12.4,61337,44.3,55.7,9656,33.3,66.7,77857,48.2,51.8,15.1,25.6,0,8.6,0.1,1.2,1.2	
10030,29530,27500-35000,20000.0-30000,47.4,52.6,6.8,5,5.9,6,8.5,19.8,13.9,14.6,5.7,4.4,5.5,2.6,1.3,34,79.3,75.4,12.1,9.4,23414,47,53,2786,38,62,29530,22.1,77.9,7.4,65.2,0.5,2.2,0,0.3,2.3	
10031,58912,48250-60000,50000.0-60000,47.4,52.6,5.2,4.6,5.1,5.8,10.5,21.3,13.9,13.2,5.2,4.4,6.2,3.1,1.4,33.4,81.8,77.4,13.2,10.6,48171,46.8,53.2,6272,34,66,58912,53.3,46.7,14.1,26.9,0.2,2.4,0,0.2,2.9	
10032,59069,48250-60000,50000.0-60000,49.6,50.4,5.6,4.6,4.1,5.7,10.4,20.4,14.1,11.8,5.6,5.2,6.8,3.3,2.3,34.6,82.5,78.7,14.7,12.4,48755,49.3,50.7,7302,36.4,63.6,59069,66.7,33.3,11.9,15.9,0,3.3,0,0.7,1.4	
10033,60520,60000-71500,60000.0-70000,52.7,47.3,6.3,4.5,4.1,5.5,9.7,18.1,15.3,14.1,6.4,4.7,6.3,3.9,1.2,35.9,82.4,78.1,13.6,11.4,49867,52.5,47.5,6922,40.9,59.1,60520,69.3,30.7,21.8,4.5,0,2.6,0,0.5,1.4	
10034,42672,41000-48250,40000.0-50000,48.9,51.1,6.4,4.8,5.7,5.9,7.4,17.3,15.6,13.3,6.9,6.4,6.1,2.8,1.4,36.4,80.3,75.8,13.9,10.3,34246,48.5,51.5,4377,45.8,54.2,42672,76.1,23.9,15.9,4.5,0,1.7,0,0.3,1.5	
10035,34760,27500-35000,30000.0-40000,48.6,51.4,6.8,5.3,5.2,6,9.3,17.9,13.7,14,6,4.3,6.3,3.3,2,34.7,79.2,75.5,14.1,11.6,27545,47.9,52.1,4037,34.8,65.2,34760,45.5,54.5,10.8,37.2,0,4.4,0,0.4,1.7	
10036,24127,20250-27500,20000.0-30000,58.4,41.6,2.8,1.4,0.5,2.2,9.7,29.2,17.8,14.1,6.6,5.7,6.2,2.8,1.1,37.5,93.8,91.2,13.1,10.1,22641,58.4,41.6,2436,44.3,55.7,24127,17,83,56.7,6.8,0.1,16.5,0,1,1.9	
10037,18041,8250-20250,10000.0-20000,42.8,57.2,5.9,4.4,6.4,4.7,7.3,18.5,12.7,12.2,7.2,4.5,7.8,4.6,3.7,37.1,80.5,77.5,18.8,16.1,14523,39.7,60.3,2911,28.1,71.9,18041,21.6,78.4,6,66.1,0,3.1,0,0,3.2	
10038,20997,20250-27500,20000.0-30000,46.5,53.5,4.1,2.7,2.7,7.1,10.3,26.2,13.7,10.2,4,5.5,6.1,4.5,3,33.6,88.5,82.2,17,13.6,18579,46.1,53.9,2862,38,62,20997,16.3,83.7,41.8,5.5,1.6,33.1,0,0.1,1.7	
10039,25952,20250-27500,20000.0-30000,44.8,55.2,7.7,6.4,7.4,6.3,9,17,13.6,14,5.3,3.1,4.8,3.8,1.6,32.9,74.6,71.2,11.9,10.2,19354,42.5,57.5,2653,36.3,63.7,25952,31.3,68.7,6.1,57.9,0.4,2.3,0,0.1,1.8	
10040,45278,41000-48250,40000.0-50000,47,53,5.3,4.2,4.3,5.5,9.4,18.6,12.1,14.5,5.6,6.2,7.5,4,2.8,37.6,82.9,78.8,17.9,14.3,37543,46,54,6464,37.2,62.8,45278,71.2,28.8,19.7,5.5,0.1,2.3,0,0,1.3	
10044,12050,8250-20250,10000.0-20000,48.1,51.9,6.2,1.7,2.9,3.8,8.4,19.8,15.3,13.1,5.2,4.9,9.7,6,3,39.4,86.6,84.2,21.1,18.7,10434,48.1,51.9,2259,45.8,54.2,12050,15.7,84.3,44.2,13.6,0,22.7,0,0.2,3.6	
10065,31761,27500-35000,30000.0-40000,42.7,57.3,5.9,4.1,2.3,1.3,5,23.5,17.3,11.8,5,4.2,10.7,6,2.9,38.8,86.7,85.8,22,19.5,27526,41.3,58.7,6200,40.4,59.6,31761,5.5,94.5,82.4,2.9,0.1,7.2,0,0.1,1.7	
10069,5523,0-8250,0.0-10000,52.8,47.2,8.3,4.9,2.4,1.4,1.6,27.1,27.7,10.7,7.5,2.5,3.9,1.3,0.5,35.8,83.3,82.9,6.6,5.7,4603,49.5,50.5,316,33.2,66.8,5523,2.3,97.7,74.1,2.8,0,18.4,0,0.5,2	
10075,24377,20250-27500,20000.0-30000,40.8,59.2,4,2.6,3.9,2.2,2.9,22.5,14.9,10.1,7,9.1,11.4,6.3,3,42.6,87.9,86.8,25.7,20.8,21435,41,59,5072,45.8,54.2,24377,7.6,92.4,83.6,0.9,0.2,5.6,0,0.2,1.9	
10103,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10110,1,0-8250,0.0-10000,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,-,100,100,0,0,1,0,100,0,-,-,1,0,100,100,0,0,0,0,0,0	
10111,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10112,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10115,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10119,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10128,62447,60000-71500,60000.0-70000,42.4,57.6,5.3,4.5,3.6,3,5.6,22.5,14.9,13,5.8,6,8.4,5.5,2.2,38.7,84.6,83.2,19.6,16,52836,41.9,58.1,9990,41.6,58.4,62447,10.9,89.1,72.7,3.7,0,10.2,0,0.1,2.3	
10152,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10153,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10154,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10162,1252,0-8250,0.0-10000,55.7,44.3,18,10.7,2.9,0,0,14.2,19,19.4,4.2,0,5.6,6.1,0,36.2,68.5,68.5,11.7,11.7,857,63.9,36.1,146,38.4,61.6,1252,14,86,80.9,0,0,5.1,0,0,0	
10165,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10167,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10168,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10169,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10170,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10171,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10172,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10173,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10174,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10177,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10199,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10271,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10278,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10279,0,0-8250,0.0-10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-	
10280,8817,8250-20250,0.0-10000,46.3,53.7,8.6,5.9,2.4,2.2,4.2,21.2,23.6,14.1,5.3,4.1,6.5,1.6,0,37.1,81.6,80.6,11.1,8.1,7197,46.6,53.4,714,55.2,44.8,8817,11.9,88.1,63.5,0.9,0,19.7,0,0.8,3.1	
10282,5903,0-8250,0.0-10000,55,45,17.3,7.2,3,1.7,1.6,25.1,24,10.8,0.9,2.8,1.5,2.7,1.5,33,70.9,70.3,7.3,5.7,4185,48.6,51.4,334,57.2,42.8,5903,10.5,89.5,71,1.1,0,12.5,0,0,5	
10301,39367,35000-41000,30000.0-40000,50.1,49.9,7.5,6.4,6.7,7.9,8.7,12.4,13.6,13.7,6.2,5.5,5.7,3.7,2,35.3,75.8,69.7,14.8,11.4,29857,49.5,50.5,4483,39.9,60.1,39367,27.6,72.4,40.4,23.2,0,5.2,0,0.1,3.4	
